LandmarkID,Name,Functn,Structure,EditBy,EditDate,Location 1,EditState
3211204,Rockfalls,1000: Residence or accommodation functions,1100: Single-family buildings,rosewl,06/16/2017 10:51:26 AM,"(37.5506040699999, -77.5249802299999)",incomplete
3211203,Higgins Doctors' Office Building,2000: General sales or services,2000: Commercial buildings and other specialized structures,rosewl,06/16/2017 10:46:17 AM,"(37.5584501499999, -77.4873378199999)",incomplete
3209602,T Tyler Potterfield Pedestrian Bridge,"4136: Special purpose transit transportation (including scenic, sightseeing, etc)","5110: Pedestrian trail, sidewalks, etc",waldrosr,05/26/2017 01:54:24 PM,"(37.53250072, -77.4449977799999)",complete
7014092,Community Building - Southside Regional Park,6300: Other government functions,2520: Community center (general merchandise with two or more anchors),waldrosr,01/12/2016 04:25:09 PM,"(37.49962956, -77.5121680099999)",needs research
7014092,Celebration Church and Outreach Ministry,6600: Religious institutions,2240: Department store building,rosewl,11/30/2015 10:28:21 AM,"(37.5042338299999, -77.4988175)",complete
7000112,Libby Hill Park,5500: Natural and other recreational parks,9100: Not applicable to this dimension,waldrosr,11/12/2015 11:14:30 AM,"(37.52726839, -77.4181518999999)",complete
7000317,Randolph Community Center,"5300: Amusement, sports, or recreation establishment",3800: Other community structures,rosewl,09/11/2014 10:55:40 AM,"(37.54391153, -77.46045497)",complete
7000605,East District Family Resource Center,6500: Health and human services,4000: Institutional or community facilities,rosewl,09/11/2014 10:50:14 AM,"(37.5348447399999, -77.4166654999999)",complete
7014091,Animal Care and Control,2720: Animal and pet services,4000: Institutional or community facilities,rosewl,01/24/2014 02:05:57 PM,"(37.55778737, -77.4430037399999)",complete
7000305,Public Safety Building,6200: Public administration,2100: Office or bank building,rosewl,01/24/2014 01:21:18 PM,"(37.54243669, -77.4321649799999)",complete
7001406,Southside Community Services Center,6500: Health and human services,2100: Office or bank building,rosewl,01/24/2014 01:07:29 PM,"(37.50153074, -77.47558075)",complete
7000737,Swansboro Pool,"5300: Amusement, sports, or recreation establishment",6983: Pools and supporting maintenance or bathroom facilities,rosewl,01/24/2014 12:57:22 PM,"(37.5104125499999, -77.4662448899999)",complete
7000759,VCU Medical Center - Gateway Building,6530: Hospital,4110: Hospital building,rosewl,10/29/2013 08:22:54 AM,"(37.54027311, -77.43048176)",complete
7000269,Clark Springs Elementary School (Closed),6121: Elementary,4210: Grade school,waldrosr,07/11/2013 12:08:28 PM,"(37.5395558, -77.4574228999999)",complete
7001495,Cannon Chapel,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",waldrosr,01/11/2013 10:49:38 AM,"(37.57450868, -77.5389983299999)",complete
7013692,North Court,1000: Residence or accommodation functions,1320: Dormitories,waldrosr,01/11/2013 10:36:54 AM,"(37.57559872, -77.5431376899999)",incomplete
7013691,Armitage Manufacturing Company,3000: Manufacturing and wholesale trade,2612: Mill-type factory structures,waldrosr,01/11/2013 10:26:12 AM,"(37.52512318, -77.41521858)",incomplete
7013291,Richmond Fire Station 17,6410: Fire and rescue,4510: Fire and rescue station,waldrosr,11/07/2012 01:00:45 PM,"(37.5213305199999, -77.45672862)",complete
7012894,Boulevard Bridge Plaza,4100: Transportation services,5000: Transportation-related facilities,waldrosr,05/25/2012 04:11:57 PM,"(37.53586492, -77.48187837)",complete
7012893,Powhite South Plaza,4100: Transportation services,5000: Transportation-related facilities,waldrosr,05/25/2012 04:04:34 PM,"(37.5307012, -77.5195333799999)",complete
7012892,Powhite North Plaza,4100: Transportation services,5000: Transportation-related facilities,waldrosr,05/25/2012 04:02:26 PM,"(37.5313206599999, -77.51373542)",complete
7012891,Downtown Expressway Plaza,4100: Transportation services,5000: Transportation-related facilities,waldrosr,05/25/2012 03:59:49 PM,"(37.54504816, -77.4618365599999)",complete
7012491,Walker's Creek Rentention Basin Park,5500: Natural and other recreational parks,9100: Not applicable to this dimension,waldrosr,05/01/2012 12:57:57 PM,"(37.5257272099999, -77.43017107)",complete
7012091,Kent Road Village Apartments,1000: Residence or accommodation functions,1200: Multifamily structures,waldrosr,03/23/2012 12:45:04 PM,"(37.56630762, -77.48412799)",complete
7011691,Tempsford Condos,1000: Residence or accommodation functions,1200: Multifamily structures,waldrosr,03/23/2012 10:54:46 AM,"(37.56648405, -77.5198884299999)",needs research
7000869,Crenshaw House,6130: Colleges and Universities,1000: Residential buildings,waldrosr,03/23/2012 10:30:16 AM,"(37.54982796, -77.45375104)",complete
7011291,Heritage Oaks Retirement Community,1210: Retirement housing services,1300: Other specialized residential structures,waldrosr,01/27/2012 08:17:24 AM,"(37.5176199, -77.51620809)",incomplete
