OBJECTID,Accident_ID,Date,Time,Street1,Distance,Measurement,Direction,Street2,StatePlaneX,StatePlaneY,Location 1
403,201205120008,05/12/2012,21,HULL ST,20,Feet,E,SWANSBORO LANE,11783744,3710533,"(37.508991, -77.462856)"
380,201203030526,03/03/2012,2121,HULL ST,None,None,None,12TH ST,11789143,3714950,"(37.520956, -77.444073)"
353,2011270269,11/27/2011,1223,LAMB AVE,None,None,None,POE ST,11792668,3729229,"(37.560061, -77.431362)"
361,201201200542,01/20/2012,1725,BROAD ROCK BLVD,500,Feet,S,CRANFORD AVE,11780397,3702730,"(37.487662, -77.474686)"
684,201502020420,02/02/2015,1920,NINE MILE ROAD,70,Feet,E,30TH ST,11801237,3722616,"(37.54163, -77.402067)"
166,201006200108,06/20/2010,200,MAIN ST,100,Feet,W,18TH ST,11793858,3719355,"(37.532908, -77.427644)"
338,201111280703,11/28/2011,2200,POWHITE PKWY,1320,Feet,N,FOREST HILL AVE,11770605,3719444,"(37.53385, -77.507828)"
46,200907100160,07/10/2009,408,4800 CHAMBERLAYNE AVE,None,None,None,None,11787160,3742766,"(37.597406, -77.449844)"
520,201308220167,08/22/2013,935,B600 W FRANKLIN ST,5,Feet,W,B00 N BELVIDERE ST,11787681,3724425,"(37.547022, -77.44875)"
503,201305290409,05/29/2013,1559,ROSECREST AVE,50,Feet,E,BRUCE ST,11792341,3709661,"(37.506333, -77.433253)"
69,200909240267,09/24/2009,1153,JEFFERSON DAVIS HWY,None,None,None,SUMMER HILL AVE,11789183,3700398,"(37.480992, -77.444496)"
464,201212180479,12/18/2012,1750,4TH AVE,None,None,None,CUSTER ST,11796767,3731992,"(37.56752, -77.417113)"
490,201304100481,04/10/2013,1837,BELVIDERE,None,None,None,SEMMES,11786922,3715754,"(37.523232, -77.4517)"
642,201409240264,09/24/2014,1344,BROAD ST,None,None,None,18TH ST,11794571,3720309,"(37.535505, -77.425148)"
63,200909030524,09/03/2009,1715,TERMINAL AVE,400,Feet,S,POMPEY SPRING ROAD,0,0,"(21.84882, -111.898764)"
26,200904290472,04/29/2009,1542,BARTON AVE,132,Feet,S,E CRAWFORD ST,11792587,3733908,"(37.572913, -77.431459)"
326,201110290379,10/29/2011,1352,CARY ST,None,None,None,SHEPPARD ST,11778942,3726322,"(37.552495, -77.478821)"
297,201109010666,09/01/2011,1945,B800 E BROAD ST,None,None,None,None,11791917,3722329,"(37.541135, -77.434222)"
687,201502130198,02/13/2015,1119,GRACE ST,None,None,None,SHAFER ST,11786881,3725499,"(37.549996, -77.451469)"
562,201401140205,01/14/2014,950,CARY ST,None,None,None,2ND ST,11789253,3722291,"(37.541113, -77.443411)"
552,201312060277,12/06/2013,1215,MARSHALL ST,None,None,None,10TH ST,11792514,3722325,"(37.541106, -77.432163)"
184,201008180262,08/18/2010,1233,MECHANICSVILLE TPKE,None,None,None,COOL LANE,11798426,3726936,"(37.553583, -77.41159)"
534,201310040503,10/04/2013,1812,CHAMBERLAYNE AVE,150,Feet,N,LADIES MILE ROAD,11788524,3734161,"(37.573733, -77.445468)"
252,201103200619,03/20/2011,2040,BROOKLAND PARK BLVD,100,Feet,E,NORTH AVE,11792224,3733380,"(37.571474, -77.432732)"
634,201408310591,08/31/2014,2335,MAURY ST,50,Feet,W,19TH ST,11788493,3712406,"(37.51399, -77.446412)"
680,201501220240,01/22/2015,1322,CHAMBERLAYNE AVE,None,None,None,SCHOOL ST,11789438,3728944,"(37.559378, -77.442516)"
466,201301010621,01/01/2013,2030,7316 FOREST HILL AVE,None,None,None,None,11763763,3720759,"(37.537657, -77.531376)"
340,201112070546,12/07/2011,1830,10TH ST,None,None,None,LEIGH ST,11793078,3723085,"(37.543175, -77.430188)"
524,201308290520,08/29/2013,1801,B2100 ACCOMMODATION ST,None,None,None,None,11796965,3725137,"(37.548689, -77.416701)"
518,201308170036,08/17/2013,37,CARY ST,5,Feet,E,12TH ST,11791816,3720410,"(37.535868, -77.434645)"
678,201501130391,01/13/2015,1730,2ND ST,None,None,None,BROAD ST,11790184,3723559,"(37.544567, -77.440151)"
604,201405160428,05/16/2014,1830,CHAMBERLAYNE AVE,100,Feet,S,WESTWOOD AVE,11788289,3735761,"(37.578134, -77.446217)"
159,201005290615,05/29/2010,1850,CALHOUN ST,150,Feet,E,HICKORY ST,11790151,3726918,"(37.553792, -77.440135)"
192,201009040307,09/04/2010,1029,OAKWOOD AVE,75,Feet,S,R ST,11801211,3719671,"(37.533543, -77.402275)"
170,201007050114,07/05/2010,10,BROAD ST,None,None,None,32ND ST,11798274,3717537,"(37.527776, -77.412488)"
210,201010210381,10/21/2010,1458,BROAD ST,10,Feet,E,1ST ST,11789923,3723751,"(37.545102, -77.441044)"
521,201308250295,08/25/2013,1225,MAIN ST,None,None,None,CHERRY ST,11786504,3723980,"(37.545836, -77.452827)"
86,200911010220,11/01/2009,215,BROAD ST,10,Miles,E,BOWE ST,11785729,3726825,"(37.553672, -77.455391)"
225,201012090474,12/09/2010,1730,FOREST HILL AVE,75,Feet,W,WESTOVER HILLS BLVD,11776291,3714850,"(37.521068, -77.48839)"
415,201206040335,06/04/2012,1451,MAIN ST,50,Feet,E,4TH ST,11790010,3722221,"(37.540898, -77.440803)"
416,201206100091,06/10/2012,220,BELVIDERE ST,None,None,None,MAIN ST,11787621,3723968,"(37.545769, -77.448975)"
639,201409140144,09/14/2014,427,JEFFERSON DAVIS HWY,100,Feet,S,TERMINAL AVE,11789120,3701082,"(37.482872, -77.444687)"
260,201104090758,04/09/2011,2223,CHAMBERLAYNE AVE,None,None,None,SLEDD ST,11789103,3730313,"(37.563148, -77.443619)"
536,201310060070,10/06/2013,138,DORSET ROAD,30,Feet,W,FERGUSON LANE,11779628,3698833,"(37.476983, -77.477482)"
231,201012310453,12/31/2010,1801,CARY ST,71,Feet,W,GRANBY ST,11782906,3724598,"(37.547642, -77.465213)"
331,201111090376,11/09/2011,1539,BELT BLVD,200,Feet,N,LORDLEY LANE,11779106,3709125,"(37.505263, -77.478897)"
84,200910300516,10/30/2009,1708,JEFFERSON DAVIS HWY,100,Feet,S,DALE AVE,11789697,3694736,"(37.465427, -77.442944)"
273,201106040857,06/04/2011,2348,11TH ST,None,None,None,BROAD ST,11792539,3721823,"(37.539726, -77.432096)"
398,201205040178,05/04/2012,813,10TH ST,75,Feet,N,BYRD ST,11790891,3720123,"(37.535109, -77.437846)"
525,201308310012,08/31/2013,10,15TH ST,120,Feet,S,MAIN ST,11793064,3719950,"(37.534566, -77.430359)"
598,201405010448,05/01/2014,1657,15TH ST,None,None,None,DINWIDDIE AVE,11790094,3712154,"(37.513249, -77.440903)"
425,201208030338,08/03/2012,1240,ROBINSON ST,None,None,None,IDLEWOOD AVE,11780027,3724848,"(37.548415, -77.475134)"
44,200907080600,07/08/2009,1715,N 2ND ST,None,None,None,None,11790521,3724039,"(37.545874, -77.43897)"
111,200912230217,12/23/2009,1130,GRACE ST,None,None,None,4TH ST,11790479,3722854,"(37.542621, -77.439161)"
474,201301310163,01/31/2013,835,2200 WILLIAMSBURG ROAD,None,None,None,None,11805345,3713872,"(37.517485, -77.388255)"
629,201408180299,08/18/2014,1145,5TH ST,None,None,None,MAIN ST,11790274,3722028,"(37.540359, -77.4399)"
519,201308200097,08/20/2013,459,B1600 E COMMERCE ROAAD,500,Feet,N,CARTER CREEK ROAD,11794510,3689793,"(37.451703, -77.426555)"
233,201101130525,01/13/2011,1811,7TH ST,None,None,None,BYRD ST,11790097,3720692,"(37.536696, -77.440562)"
310,201110020589,10/02/2011,1858,23RD ST,None,None,None,FAIRFIELD AVE,11799983,3724932,"(37.54803, -77.4063)"
439,201210020106,10/02/2012,800,1ST ST,None,None,None,CLAY ST,11790386,3724381,"(37.546818, -77.439422)"
242,201102190388,02/19/2011,1257,BELVIDERE ST,None,None,None,BROAD ST,11788092,3725095,"(37.548849, -77.447307)"
351,201112290486,12/29/2011,1900,STAPLES MILL ROAD,None,None,None,AUGUSTA AVE,11773890,3735879,"(37.578889, -77.495897)"
188,201008300667,08/30/2010,1915,6700 W CARNATION ST,None,None,None,None,11767790,3709940,"(37.507831, -77.517877)"
43,200907010339,07/01/2009,1352,HARWOOD ST,None,None,None,BOWEN ST,11790659,3708707,"(37.503765, -77.439088)"
107,200912110076,12/11/2009,210,HARRISON ST,None,None,None,MAIN ST,11785791,3723981,"(37.54586, -77.455286)"
397,201205030446,05/03/2012,1714,CARY ST,None,None,None,MCCLOY ST,11777990,3726736,"(37.55366, -77.48209)"
295,201108280795,08/28/2011,1950,BELVIDERE ST,None,None,None,FRANKLIN ST,11787681,3724425,"(37.547022, -77.44875)"
